Day,課題名,トピック技術,使用技術,作成期間目安,難易度,成果物形式,ゴール基準,身の回りの例
34,簡易HTTPプロxyサーバー自作,"HTTPプロトコル,ソケット通信,マルチスレッド/プロセス",Python,1日,★★★★,アプリケーション,"クライアントとサーバー間のHTTP通信を中継できるプロxyサーバー","Squid, Nginx"
35,簡易ロードバランサー自作（ラウンドロビン）,"ネットワーク,マルチプロセス/スレッド,分散システム",Python,1日,★★★★,アプリケーション,"複数のバックエンドサーバーにリクエストを均等に分散できるロードバランサー","HAProxy, Nginx"
36,簡易データベース（キーバリューストア）自作,"データ構造（ハッシュマップ）,ファイルI/O,永続化",Python,1日,★★★★,アプリケーション,"キーと値のペアを保存・取得・削除できる永続化ストア","Redis, Memcached"
37,トランザクション処理の実装（簡易版）,"データベース,ACID特性,並行性制御",Python,1日,★★★★★,アプリケーション,"複数の操作を原子的に実行し,障害時にロールバックできる機能","RDBMSのトランザクション"
38,Bツリー/B+ツリーの実装,"データ構造,探索アルゴリズム,ディスクI/O最適化",Python,1日,★★★★★,アプリケーション,"Bツリー/B+ツリーを実装し,効率的なデータ検索・挿入・削除ができる","データベースのインデックス"
39,簡易レコメンデーションシステム（協調フィルタリング）,"アルゴリズム,データ分析,行列演算",Python,1日,★★★★,アプリケーション,"ユーザーの行動履歴から関連性の高いアイテムを推薦できる","Amazonのおすすめ商品"
40,画像から主要色を抽出するツール,"画像処理,クラスタリングアルゴリズム（K-Means簡易版）",Python,1日,★★★★,アプリケーション,"画像から主要な色を抽出し,パレットとして表示できる","Adobe Color"
41,簡易画像認識（特徴量抽出と分類）,"画像処理,機械学習（簡易NN/SVM）,パターン認識",Python,1日,★★★★★,アプリケーション,"画像の特徴量（エッジなど）を抽出し,簡単な分類（例：手書き数字）ができる","MNIST手書き数字認識"
42,音声波形解析ツール（FFT簡易版）,"信号処理,フーリエ変換,デジタルフィルタリング",Python,1日,★★★★★,アプリケーション,"音声ファイルから周波数スペクトルを生成し,可視化できる","スペクトログラム"
43,簡易圧縮アルゴリズム（ハフマン符号化）実装,"アルゴリズム,データ構造（木構造）,情報理論",Python,1日,★★★★★,アプリケーション,"テキストファイルをハフマン符号化で圧縮・展開できる","ZIP圧縮"
44,簡易暗号化/復号化ツール（AES/RSA簡易版）,"暗号理論,鍵交換,公開鍵暗号/共通鍵暗号",Python,1日,★★★★★,アプリケーション,"独自の簡易的な暗号化/復号化アルゴリズムを実装し,テキストを暗号化できる","PGP, SSL/TLS"
45,簡易分散型キューシステム自作,"分散システム,メッセージング,耐障害性",Python,1日,★★★★★,アプリケーション,"複数のプロセス/サーバー間でメッセージをやり取りできる分散キュー","RabbitMQ, Kafka"
46,簡易P2Pファイル共有システム（DHT簡易版）,"ネットワーク,分散システム,DHT",Python,1日,★★★★★,アプリケーション,"P2Pでファイル情報を検索・共有できる簡易システム","BitTorrent, IPFS"
47,ブロックチェーンの基本要素実装（ハッシュ,チェーン）,"分散システム,暗号理論,ハッシュ関数,プルーフオブワーク",Python,1日,★★★★★,アプリケーション,"ブロック,ハッシュ,プルーフオブワークの基本的な概念を実装","Bitcoin"
48,簡易ネットワークスキャナー（ポートスキャン）,"ネットワーク,ソケット通信,TCP/UDP",Python,1日,★★★★,アプリケーション,"指定されたIPアドレスのオープンポートをスキャンできる","Nmap"
49,簡易侵入検知システム（パターンマッチング）,"セキュリティ,文字列検索アルゴリズム,正規表現",Python,1日,★★★★,アプリケーション,"ログファイルから特定の悪意あるパターンを検出できる","IDS/IPS"
50,簡易OSコマンドシェル自作,"OS,プロセス管理,ファイルシステム,システムコール",Python,1日,★★★★,アプリケーション,"ls,cd,catなどの基本的なコマンドを実行できるシェル","Bash, Zsh"
51,プロセス間通信（IPC）の実装（パイプ/共有メモリ）,"OS,プロセス管理,並行処理",Python,1日,★★★★★,アプリケーション,"複数のプロセス間でデータをやり取りする仕組みを実装できる","パイプ,共有メモリ"
52,スレッドセーフなデータ構造（ロック/セマフォ使用）,"並行処理,同期プリミティブ,デッドロック",Python,1日,★★★★,アプリケーション,"複数のスレッドから安全にアクセスできるデータ構造（例：キュー）","スレッドセーフなコレクション"
53,簡易タスクスケジューラー,"OS,時間管理,イベントループ",Python,1日,★★★★,アプリケーション,"指定した時間に特定のタスクを実行できるスケジューラー","Cron, Windowsタスクスケジューラ"
54,簡易コンパイラの字句解析器（lexical analyzer）,"コンパイラ理論,正規表現,状態遷移,形式言語",Python,1日,★★★★★,アプリケーション,"独自の簡易言語のコードからトークンを生成できる","Flex, Lex"
55,簡易コンパイラの構文解析器（parser）,"コンパイラ理論,文脈自由文法,ツリー構造,再帰下降パーサー",Python,1日,★★★★★,アプリケーション,"字句解析器で生成されたトークンからASTを構築できる","Bison, Yacc"
56,簡易CPUシミュレータ（命令実行）,"コンピュータアーキテクチャ,低レベルプログラミング,命令セット",Python,1日,★★★★★,アプリケーション,"非常にシンプルなCPUの命令セットをシミュレートし,実行できる","MIPSシミュレータ"
57,簡易メモリ管理ユニット（MMU）シミュレータ,"OS,メモリ管理,仮想記憶,ページング",Python,1日,★★★★★,アプリケーション,"仮想アドレスから物理アドレスへの変換をシミュレートできる","MMU"
58,簡易ガベージコレクター（マーク＆スイープ）,"メモリ管理,データ構造（グラフ）,参照カウント",Python,1日,★★★★★,アプリケーション,"使用されていないメモリを自動的に解放するガベージコレクター","JavaのGC, PythonのGC"
59,簡易分散合意アルゴリズム（Paxos/Raft簡易版）,"分散システム,合意形成,一貫性",Python,1日,★★★★★,アプリケーション,"複数のノード間で値の一貫性を保つ簡易的な合意アルゴリズム","ZooKeeper, etcd"
60,簡易機械学習モデルの可視化ツール,"機械学習,データ可視化,グラフ描画",Python + JavaScript,1日,★★★★,アプリケーション,"簡易的な機械学習モデル（例：線形回帰）の決定境界や学習過程を可視化できる","TensorBoard"
61,簡易SQLデータベースエンジン（SELECT文のみ）,"データベース,SQL解析,データ格納,クエリ最適化",Python,1日,★★★★★,アプリケーション,"ファイルに保存されたデータからSELECT文（WHERE句まで）を実行できる","SQLite"
62,テキストエディタ（シンタックスハイライト）,"文字列操作,正規表現,描画（Canvas/DOM）",JavaScript,1日,★★★★,アプリケーション,"ブラウザ上でコードを編集し,簡単なシンタックスハイライトができる","VS Code"
63,Gitの基本的な仕組み自作（コミット,ブランチ）,"バージョン管理,ハッシュ関数,ツリー構造,有向非巡回グラフ",Python,1日,★★★★★,アプリケーション,"コミット,ブランチ,マージの基本的な概念を実装し,簡単なバージョン管理ができる","Git"
64,コンテナ技術の簡易版（chroot,namespace）,"OS,プロセス分離,仮想化（軽量）",Python,1日,★★★★★,アプリケーション,"chrootやnamespaceの概念を用いて,簡易的なコンテナ環境を構築できる","Docker"
65,ロギングシステム（ログレベル,ファイル出力）,"システム設計,ファイルI/O,オブザーバビリティ",Python,1日,★★★,アプリケーション,"ログレベルに応じてメッセージをフィルタリングし,ファイルに出力できるロギングシステム","Pythonの logging モジュール"
66,監視システム（リソース使用率モニタリング）,"OS,システムコール,データ可視化,時系列データベース",Python + JavaScript,1日,★★★★,アプリケーション,"サーバーのCPU,メモリ,ディスク使用率をリアルタイムで監視し,WebUIで表示できる","Grafana, Prometheus"
67,分散ロックマネージャー,"分散システム,並行処理,合意形成,リーダー選出",Python,1日,★★★★★,アプリケーション,"複数のプロセス/サーバー間でリソースの排他制御を行う分散ロック","ZooKeeper"
68,簡易メッセージングキュー（Pub/Subモデル）,"分散システム,メッセージング,疎結合",Python,1日,★★★★★,アプリケーション,"パブリッシュ/サブスクライブモデルでメッセージを配信できるキュー","Redis Pub/Sub, Kafka"
69,簡易全文検索エンジン（インデックス作成,検索）,"情報検索,データ構造（転置インデックス）,BM25",Python,1日,★★★★★,アプリケーション,"テキストファイルからインデックスを作成し,キーワードで検索できる","Elasticsearch, Solr"
70,簡易ブロックチェーンエクスプローラー,"ブロックチェーン,WebUI,API通信,分散元帳",Python + JavaScript,1日,★★★★,アプリケーション,"前に作成したブロックチェーンのデータをWebUIで可視化し,ブロックやトランザクションを閲覧できる","Etherscan"
71,簡易GAN（敵対的生成ネットワーク）実装,"深層学習,生成モデル,勾配降下法,線形代数",Python,1日,★★★★★,アプリケーション,"簡易的なGANを実装し,シンプルなデータ（例：数字画像）を生成できる","StyleGAN, Midjourney"
72,簡易強化学習（Q学習/DQN簡易版）,"強化学習,マルコフ決定過程（MDP）,動的計画法",Python,1日,★★★★★,アプリケーション,"非常にシンプルな環境（例：迷路）でエージェントを学習させ,最適な行動を探索できる","AlphaGo, ロボット制御"
73,グラフデータベースの簡易実装,"グラフ理論,データ構造（隣接リスト/行列）,グラフ探索アルゴリズム",Python,1日,★★★★★,アプリケーション,"ノードとエッジを持つグラフ構造を永続化し,簡単なクエリ（例：最短パス）を実行できる","Neo4j, ArangoDB"
74,分散トランザクションの実装（2相コミット簡易版）,"分散システム,合意形成,可用性,直列化可能性",Python,1日,★★★★★,アプリケーション,"複数のデータベースにまたがるトランザクションを原子的に実行できる","XAトランザクション"
75,サーバーレス関数実行環境の簡易版,"クラウドコンピューティング,コンテナ,イベント駆動,FaaS",Python,1日,★★★★★,アプリケーション,"HTTPリクエストをトリガーに指定したPython関数を実行できる簡易的なサーバーレス環境","AWS Lambda, Google Cloud Functions"
76,プログラムの静的解析ツール（デッドコード検出）,"コンパイラ理論,データフロー解析,到達可能性解析",Python,1日,★★★★★,アプリケーション,"簡易的なプログラムコードから到達不可能な（デッド）コードを検出できる","Lintツール"
77,型推論エンジンの簡易実装,"コンパイラ理論,型システム,単一化アルゴリズム",Python,1日,★★★★★,アプリケーション,"非常にシンプルな言語の型を自動的に推論できるエンジン","TypeScript, Kotlin"
78,分散ファイルシステム（HDFS簡易版）,"分散システム,耐障害性,データレプリケーション,一貫性モデル",Python,1日,★★★★★,アプリケーション,"複数のノードにファイルを分散して保存し,耐障害性を持つファイルシステム","HDFS"
79,リアルタイムデータストリーミング処理（簡易版）,"分散システム,データパイプライン,イベント処理,ウィンドウ処理",Python,1日,★★★★★,アプリケーション,"センサーデータなどのストリームデータをリアルタイムで処理し,集計できる","Kafka Streams, Apache Flink"
80,自動コード生成ツール（DSLからコード）,"メタプログラミング,コード生成,抽象構文木操作",Python,1日,★★★★★,アプリケーション,"独自のドメイン固有言語（DSL）で書かれた定義から,実行可能なコードを自動生成できる","フレームワークのコード生成"
81,物理シミュレーションエンジン（衝突判定,反発）,"物理演算,線形代数,幾何学,数値積分",Python,1日,★★★★★,アプリケーション,"簡易的な物理エンジンを実装し,オブジェクトの衝突や反発をシミュレートできる","ゲームエンジン"
82,自然言語生成（LSTM/RNN簡易版）,"自然言語処理,深層学習,系列モデル,確率分布",Python,1日,★★★★★,アプリケーション,"簡易的なRNN/LSTMモデルで,与えられた単語の続きを生成できる","文章生成AI"
83,音声認識（HMM/CTC簡易版）,"音声処理,機械学習,隠れマルコフモデル（HMM）,音響モデル",Python,1日,★★★★★,アプリケーション,"簡易的なモデルで,短い音声（例：数字の発音）を認識できる","Siri, Google Assistant"
84,リアルタイム顔検出（Haar Cascade/CNN簡易版）,"画像処理,機械学習,特徴量エンジニアリング,オブジェクト検出",Python,1日,★★★★★,アプリケーション,"Webカメラからリアルタイムで顔を検出し,矩形で囲むことができる","Zoomの顔認識"
85,AR/VRの基本原理実装（姿勢推定,描画）,"コンピュータグラフィックス,幾何学,線形代数,カメラキャリブレーション",Python + JavaScript,1日,★★★★★,アプリケーション,"カメラ映像からマーカーを認識し,その上に仮想オブジェクトを描画できる","ARアプリ"
86,量子コンピュータシミュレータ（簡易版）,"量子情報科学,線形代数,量子ゲート,重ね合わせ",Python,1日,★★★★★,アプリケーション,"複数の量子ビットと基本的な量子ゲート操作をシミュレートできる","Qiskit, Cirq"
87,脆弱性診断ツール（XSS/SQLi自動検出簡易版）,"セキュリティ,Webクローリング,パターンマッチング,攻撃ペイロード",Python,1日,★★★★★,アプリケーション,"指定したURLを巡回し,簡易的なXSSやSQLインジェクションの脆弱性を自動検出できる","OWASP ZAP, Burp Suite"
88,ゼロ知識証明の基本原理実装,"暗号理論,数論,対話型証明システム",Python,1日,★★★★★,アプリケーション,"相手に秘密の情報を開示することなく,その情報を持っていることを証明できる簡易的な仕組み","ブロックチェーンのプライバシー技術"
89,信頼実行環境（TEE）の概念実装,"セキュリティ,ハードウェアセキュリティ,隔離,機密性/完全性",Python,1日,★★★★★,アプリケーション,"隔離された環境でコードを実行する概念を簡易的にシミュレートできる","Intel SGX, ARM TrustZone"
90,形式的検証ツール（簡易版）,"プログラム検証,論理学,命題論理/述語論理",Python,1日,★★★★★,アプリケーション,"簡易的なプログラムの性質（例：デッドロックなし）を数学的に証明できる","Coq, Isabelle/HOL"
91,自己修復システム（ヘルスチェックと自動再起動）,"可用性,システム監視,スクリプト,フォールトトレランス",Python,1日,★★★★,アプリケーション,"プロセスやサービスの状態を監視し,異常があれば自動で再起動するシステム","KubernetesのPod管理"
92,分散トレーシングシステム（簡易版）,"分散システム,パフォーマンス監視,相関ID,OpenTracing",Python,1日,★★★★★,アプリケーション,"複数のマイクロサービスにまたがるリクエストの処理経路を追跡し,ボトルネックを特定できる","Jaeger, Zipkin"
93,グラフニューラルネットワーク（GNN）簡易実装,"深層学習,グラフ理論,ノード埋め込み,メッセージパッシング",Python,1日,★★★★★,アプリケーション,"グラフ構造のデータを処理できる簡易的なGNNを実装し,ノード分類などを行える","知識グラフ,ソーシャルネットワーク分析"
94,オートML（簡易的なモデル選択とハイパーパラメータ最適化）,"機械学習,最適化アルゴリズム,探索戦略,特徴量選択",Python,1日,★★★★★,アプリケーション,"複数の機械学習モデルとハイパーパラメータの組み合わせを自動的に試し,最適なモデルを見つける","Google Cloud AutoML"
95,知識グラフの構築とクエリ,"知識表現,セマンティックウェブ,グラフデータベース,OWL/RDF",Python,1日,★★★★★,アプリケーション,"構造化されたデータから知識グラフを構築し,簡単なクエリで情報を抽出できる","Wikidata, DBpedia"
96,敵対的サンプル生成と防御（画像分類）,"深層学習,セキュリティ,摂動,ロバスト性",Python,1日,★★★★★,アプリケーション,"画像分類モデルを騙すような敵対的サンプルを生成し,その防御策を簡易的に実装できる","画像認識モデルの脆弱性"
97,AIエージェント（自己学習型）,"AI,強化学習,探索アルゴリズム,行動決定",Python,1日,★★★★★,アプリケーション,"環境との相互作用を通じて最適な行動を学習し,目標を達成するエージェント","ゲームAI,自動運転"
98,簡易Webフレームワーク自作（フロントエンドルーティング機能付き）,"フロントエンドルーティング,コンポーネントシステム,状態管理",JavaScript,1日,★★★★,アプリケーション,"URLに応じて表示を切り替え,再利用可能なUIコンポーネントと簡易的な状態管理システムを持つ","React, Vue, Angular"
99,リアルタイム共同編集テキストエディタ（CRDT簡易版）,"分散システム,コンフリクト解決,データ構造（CRDT）,WebSocket",JavaScript + Python,1日,★★★★★,アプリケーション,"複数のユーザーが同時にテキストを編集し,リアルタイムで内容が同期されるエディタ","Google Docs, Figma"
100,フルスクラッチWebアプリケーション（全フェーズの集大成）,"HTTP,データベース,CS知識全般,AI,セキュリティ,ネットワーク,システム設計,フロントエンドアーキテクチャ","PHP, JavaScript, Python",10日以上,★★★★★,アプリケーション,"これまでの知識を全て結集し,独自のアイデアで大規模なWebアプリケーションを設計・開発する","あなたのサービス"
